<TICKER>,<PER>,Date,<TIME>,Price
GDAX.BTC-USD,D,01/01/17,000000,992.9500000
GDAX.BTC-USD,D,02/01/17,000000,1011.4500000
GDAX.BTC-USD,D,03/01/17,000000,1020.6700000
GDAX.BTC-USD,D,04/01/17,000000,1130.3000000
GDAX.BTC-USD,D,05/01/17,000000,1007.0000000
GDAX.BTC-USD,D,06/01/17,000000,895.7100000
GDAX.BTC-USD,D,07/01/17,000000,909.0000000
GDAX.BTC-USD,D,08/01/17,000000,923.3300000
GDAX.BTC-USD,D,09/01/17,000000,902.6600000
GDAX.BTC-USD,D,10/01/17,000000,907.0000000
GDAX.BTC-USD,D,11/01/17,000000,795.7700000
GDAX.BTC-USD,D,12/01/17,000000,812.2500000
GDAX.BTC-USD,D,13/01/17,000000,831.4200000
GDAX.BTC-USD,D,14/01/17,000000,828.0000000
GDAX.BTC-USD,D,15/01/17,000000,833.3100000
GDAX.BTC-USD,D,16/01/17,000000,834.4100000
GDAX.BTC-USD,D,17/01/17,000000,906.0000000
GDAX.BTC-USD,D,18/01/17,000000,887.9900000
GDAX.BTC-USD,D,19/01/17,000000,902.9200000
GDAX.BTC-USD,D,20/01/17,000000,894.3100000
GDAX.BTC-USD,D,21/01/17,000000,925.0600000
GDAX.BTC-USD,D,22/01/17,000000,931.2200000
GDAX.BTC-USD,D,23/01/17,000000,910.7000000
GDAX.BTC-USD,D,24/01/17,000000,887.0000000
GDAX.BTC-USD,D,25/01/17,000000,896.0000000
GDAX.BTC-USD,D,26/01/17,000000,917.0200000
GDAX.BTC-USD,D,27/01/17,000000,922.6300000
GDAX.BTC-USD,D,28/01/17,000000,924.9800000
GDAX.BTC-USD,D,29/01/17,000000,916.5400000
GDAX.BTC-USD,D,30/01/17,000000,923.2300000
GDAX.BTC-USD,D,31/01/17,000000,970.0100000
GDAX.BTC-USD,D,01/02/17,000000,992.7500000
GDAX.BTC-USD,D,02/02/17,000000,1008.3800000
GDAX.BTC-USD,D,03/02/17,000000,1018.0000000
GDAX.BTC-USD,D,04/02/17,000000,1035.5400000
GDAX.BTC-USD,D,05/02/17,000000,1016.3200000
GDAX.BTC-USD,D,06/02/17,000000,1022.5800000
GDAX.BTC-USD,D,07/02/17,000000,1053.9600000
GDAX.BTC-USD,D,08/02/17,000000,1056.7000000
GDAX.BTC-USD,D,09/02/17,000000,994.2400000
GDAX.BTC-USD,D,10/02/17,000000,1001.9900000
GDAX.BTC-USD,D,11/02/17,000000,1018.6500000
GDAX.BTC-USD,D,12/02/17,000000,1010.0000000
GDAX.BTC-USD,D,13/02/17,000000,1002.8200000
GDAX.BTC-USD,D,14/02/17,000000,1013.9200000
GDAX.BTC-USD,D,15/02/17,000000,1014.5300000
GDAX.BTC-USD,D,16/02/17,000000,1038.9400000
GDAX.BTC-USD,D,17/02/17,000000,1057.3000000
GDAX.BTC-USD,D,18/02/17,000000,1062.1500000
GDAX.BTC-USD,D,19/02/17,000000,1059.8800000
GDAX.BTC-USD,D,20/02/17,000000,1089.8200000
GDAX.BTC-USD,D,21/02/17,000000,1128.2900000
GDAX.BTC-USD,D,22/02/17,000000,1128.7100000
GDAX.BTC-USD,D,23/02/17,000000,1186.9000000
GDAX.BTC-USD,D,24/02/17,000000,1186.9100000
GDAX.BTC-USD,D,25/02/17,000000,1158.0000000
GDAX.BTC-USD,D,26/02/17,000000,1184.9100000
GDAX.BTC-USD,D,27/02/17,000000,1195.8100000
GDAX.BTC-USD,D,28/02/17,000000,1195.0800000
GDAX.BTC-USD,D,01/03/17,000000,1230.0000000
GDAX.BTC-USD,D,02/03/17,000000,1269.1700000
GDAX.BTC-USD,D,03/03/17,000000,1292.8600000
GDAX.BTC-USD,D,04/03/17,000000,1273.9700000
GDAX.BTC-USD,D,05/03/17,000000,1278.9800000
GDAX.BTC-USD,D,06/03/17,000000,1284.9900000
GDAX.BTC-USD,D,07/03/17,000000,1237.3600000
GDAX.BTC-USD,D,08/03/17,000000,1150.2200000
GDAX.BTC-USD,D,09/03/17,000000,1197.3000000
GDAX.BTC-USD,D,10/03/17,000000,1109.0100000
GDAX.BTC-USD,D,11/03/17,000000,1188.1100000
GDAX.BTC-USD,D,12/03/17,000000,1235.5800000
GDAX.BTC-USD,D,13/03/17,000000,1245.4900000
GDAX.BTC-USD,D,14/03/17,000000,1247.4200000
GDAX.BTC-USD,D,15/03/17,000000,1263.0000000
GDAX.BTC-USD,D,16/03/17,000000,1175.1100000
GDAX.BTC-USD,D,17/03/17,000000,1069.5700000
GDAX.BTC-USD,D,18/03/17,000000,970.0000000
GDAX.BTC-USD,D,19/03/17,000000,1019.4900000
GDAX.BTC-USD,D,20/03/17,000000,1044.9600000
GDAX.BTC-USD,D,21/03/17,000000,1114.4200000
GDAX.BTC-USD,D,22/03/17,000000,1034.5700000
GDAX.BTC-USD,D,23/03/17,000000,1025.1400000
GDAX.BTC-USD,D,24/03/17,000000,934.8700000
GDAX.BTC-USD,D,25/03/17,000000,963.7200000
GDAX.BTC-USD,D,26/03/17,000000,973.0800000
GDAX.BTC-USD,D,27/03/17,000000,1042.0800000
GDAX.BTC-USD,D,28/03/17,000000,1045.4000000
GDAX.BTC-USD,D,29/03/17,000000,1043.2700000
GDAX.BTC-USD,D,30/03/17,000000,1042.3400000
GDAX.BTC-USD,D,31/03/17,000000,1088.9900000
GDAX.BTC-USD,D,01/04/17,000000,1092.0000000
GDAX.BTC-USD,D,02/04/17,000000,1113.9900000
GDAX.BTC-USD,D,03/04/17,000000,1152.6000000
GDAX.BTC-USD,D,04/04/17,000000,1143.9900000
GDAX.BTC-USD,D,05/04/17,000000,1132.9900000
GDAX.BTC-USD,D,06/04/17,000000,1192.3000000
GDAX.BTC-USD,D,07/04/17,000000,1194.0000000
GDAX.BTC-USD,D,08/04/17,000000,1184.5000000
GDAX.BTC-USD,D,09/04/17,000000,1210.9700000
GDAX.BTC-USD,D,10/04/17,000000,1210.0000000
GDAX.BTC-USD,D,11/04/17,000000,1223.9900000
GDAX.BTC-USD,D,12/04/17,000000,1214.1700000
GDAX.BTC-USD,D,13/04/17,000000,1177.0500000
GDAX.BTC-USD,D,14/04/17,000000,1173.7400000
GDAX.BTC-USD,D,15/04/17,000000,1178.8500000
GDAX.BTC-USD,D,16/04/17,000000,1177.9900000
GDAX.BTC-USD,D,17/04/17,000000,1189.9100000
GDAX.BTC-USD,D,18/04/17,000000,1201.9400000
GDAX.BTC-USD,D,19/04/17,000000,1214.2100000
GDAX.BTC-USD,D,20/04/17,000000,1236.1500000
GDAX.BTC-USD,D,21/04/17,000000,1249.9900000
GDAX.BTC-USD,D,22/04/17,000000,1247.0000000
GDAX.BTC-USD,D,23/04/17,000000,1251.9800000
GDAX.BTC-USD,D,24/04/17,000000,1257.2900000
GDAX.BTC-USD,D,25/04/17,000000,1281.1600000
GDAX.BTC-USD,D,26/04/17,000000,1298.4400000
GDAX.BTC-USD,D,27/04/17,000000,1349.2600000
GDAX.BTC-USD,D,28/04/17,000000,1353.3400000
GDAX.BTC-USD,D,29/04/17,000000,1365.4300000
GDAX.BTC-USD,D,30/04/17,000000,1384.5500000
GDAX.BTC-USD,D,01/05/17,000000,1436.5000000
GDAX.BTC-USD,D,02/05/17,000000,1471.9900000
GDAX.BTC-USD,D,03/05/17,000000,1533.0000000
GDAX.BTC-USD,D,04/05/17,000000,1563.3900000
GDAX.BTC-USD,D,05/05/17,000000,1551.3000000
GDAX.BTC-USD,D,06/05/17,000000,1585.3900000
GDAX.BTC-USD,D,07/05/17,000000,1609.5700000
GDAX.BTC-USD,D,08/05/17,000000,1713.0000000
GDAX.BTC-USD,D,09/05/17,000000,1720.4300000
GDAX.BTC-USD,D,10/05/17,000000,1794.9900000
GDAX.BTC-USD,D,11/05/17,000000,1837.9300000
GDAX.BTC-USD,D,12/05/17,000000,1695.6100000
GDAX.BTC-USD,D,13/05/17,000000,1792.7300000
GDAX.BTC-USD,D,14/05/17,000000,1799.9900000
GDAX.BTC-USD,D,15/05/17,000000,1747.8100000
GDAX.BTC-USD,D,16/05/17,000000,1777.4800000
GDAX.BTC-USD,D,17/05/17,000000,1813.2300000
GDAX.BTC-USD,D,18/05/17,000000,1899.1600000
GDAX.BTC-USD,D,19/05/17,000000,1976.2300000
GDAX.BTC-USD,D,20/05/17,000000,2058.9100000
GDAX.BTC-USD,D,21/05/17,000000,2057.0000000
GDAX.BTC-USD,D,22/05/17,000000,2123.2900000
GDAX.BTC-USD,D,23/05/17,000000,2272.7500000
GDAX.BTC-USD,D,24/05/17,000000,2432.9700000
GDAX.BTC-USD,D,25/05/17,000000,2355.0000000
GDAX.BTC-USD,D,26/05/17,000000,2272.7000000
GDAX.BTC-USD,D,27/05/17,000000,2099.9900000
GDAX.BTC-USD,D,28/05/17,000000,2232.7800000
GDAX.BTC-USD,D,29/05/17,000000,2279.4800000
GDAX.BTC-USD,D,30/05/17,000000,2191.5800000
GDAX.BTC-USD,D,31/05/17,000000,2303.2900000
GDAX.BTC-USD,D,01/06/17,000000,2419.9900000
GDAX.BTC-USD,D,02/06/17,000000,2478.9900000
GDAX.BTC-USD,D,03/06/17,000000,2548.0500000
GDAX.BTC-USD,D,04/06/17,000000,2521.3600000
GDAX.BTC-USD,D,05/06/17,000000,2698.0000000
GDAX.BTC-USD,D,06/06/17,000000,2871.2900000
GDAX.BTC-USD,D,07/06/17,000000,2685.6400000
GDAX.BTC-USD,D,08/06/17,000000,2799.7300000
GDAX.BTC-USD,D,09/06/17,000000,2811.3900000
GDAX.BTC-USD,D,10/06/17,000000,2931.1500000
GDAX.BTC-USD,D,11/06/17,000000,2998.9800000
GDAX.BTC-USD,D,12/06/17,000000,2655.7100000
GDAX.BTC-USD,D,13/06/17,000000,2709.0100000
GDAX.BTC-USD,D,14/06/17,000000,2432.2100000
GDAX.BTC-USD,D,15/06/17,000000,2409.9800000
GDAX.BTC-USD,D,16/06/17,000000,2480.4300000
GDAX.BTC-USD,D,17/06/17,000000,2634.9400000
GDAX.BTC-USD,D,18/06/17,000000,2515.2500000
GDAX.BTC-USD,D,19/06/17,000000,2596.9800000
GDAX.BTC-USD,D,20/06/17,000000,2725.0800000
GDAX.BTC-USD,D,21/06/17,000000,2643.3500000
GDAX.BTC-USD,D,22/06/17,000000,2679.9900000
GDAX.BTC-USD,D,23/06/17,000000,2690.7600000
GDAX.BTC-USD,D,24/06/17,000000,2574.8400000
GDAX.BTC-USD,D,25/06/17,000000,2505.6100000
GDAX.BTC-USD,D,26/06/17,000000,2407.9100000
GDAX.BTC-USD,D,27/06/17,000000,2575.7500000
GDAX.BTC-USD,D,28/06/17,000000,2553.1200000
GDAX.BTC-USD,D,29/06/17,000000,2530.0000000
GDAX.BTC-USD,D,30/06/17,000000,2455.1900000
GDAX.BTC-USD,D,01/07/17,000000,2423.6300000
GDAX.BTC-USD,D,02/07/17,000000,2516.6600000
GDAX.BTC-USD,D,03/07/17,000000,2542.4100000
GDAX.BTC-USD,D,04/07/17,000000,2602.0000000
GDAX.BTC-USD,D,05/07/17,000000,2089.5100000
GDAX.BTC-USD,D,09/07/17,000000,2508.9900000
GDAX.BTC-USD,D,10/07/17,000000,2331.0500000
GDAX.BTC-USD,D,11/07/17,000000,2310.0100000
GDAX.BTC-USD,D,12/07/17,000000,2383.4200000
GDAX.BTC-USD,D,13/07/17,000000,2340.0000000
GDAX.BTC-USD,D,14/07/17,000000,2217.2400000
GDAX.BTC-USD,D,15/07/17,000000,1964.3100000
GDAX.BTC-USD,D,16/07/17,000000,1911.7800000
GDAX.BTC-USD,D,17/07/17,000000,2235.1900000
GDAX.BTC-USD,D,18/07/17,000000,2308.1500000
GDAX.BTC-USD,D,19/07/17,000000,2258.9900000
GDAX.BTC-USD,D,20/07/17,000000,2873.4800000
GDAX.BTC-USD,D,21/07/17,000000,2657.4500000
GDAX.BTC-USD,D,22/07/17,000000,2825.2700000
GDAX.BTC-USD,D,23/07/17,000000,2754.2800000
GDAX.BTC-USD,D,24/07/17,000000,2762.2600000
GDAX.BTC-USD,D,25/07/17,000000,2564.0000000
GDAX.BTC-USD,D,26/07/17,000000,2525.9900000
GDAX.BTC-USD,D,27/07/17,000000,2664.9900000
GDAX.BTC-USD,D,28/07/17,000000,2786.0700000
GDAX.BTC-USD,D,29/07/17,000000,2700.2100000
GDAX.BTC-USD,D,30/07/17,000000,2723.9900000
GDAX.BTC-USD,D,31/07/17,000000,2856.8800000
GDAX.BTC-USD,D,01/08/17,000000,2732.5900000
GDAX.BTC-USD,D,02/08/17,000000,2699.9000000
GDAX.BTC-USD,D,03/08/17,000000,2787.0200000
GDAX.BTC-USD,D,04/08/17,000000,2857.3400000
GDAX.BTC-USD,D,05/08/17,000000,3243.4900000
GDAX.BTC-USD,D,06/08/17,000000,3222.2200000
GDAX.BTC-USD,D,07/08/17,000000,3398.2300000
GDAX.BTC-USD,D,08/08/17,000000,3422.4300000
GDAX.BTC-USD,D,09/08/17,000000,3342.8000000
GDAX.BTC-USD,D,10/08/17,000000,3444.9800000
GDAX.BTC-USD,D,11/08/17,000000,3656.1500000
GDAX.BTC-USD,D,12/08/17,000000,3874.0000000
GDAX.BTC-USD,D,13/08/17,000000,4060.4700000
GDAX.BTC-USD,D,14/08/17,000000,4320.6000000
GDAX.BTC-USD,D,15/08/17,000000,4159.9300000
GDAX.BTC-USD,D,16/08/17,000000,4370.0100000
GDAX.BTC-USD,D,17/08/17,000000,4280.0100000
GDAX.BTC-USD,D,18/08/17,000000,4101.7200000
GDAX.BTC-USD,D,19/08/17,000000,4157.4100000
GDAX.BTC-USD,D,20/08/17,000000,4050.9900000
GDAX.BTC-USD,D,21/08/17,000000,4002.0000000
GDAX.BTC-USD,D,22/08/17,000000,4092.0000000
GDAX.BTC-USD,D,23/08/17,000000,4143.4900000
GDAX.BTC-USD,D,24/08/17,000000,4312.0300000
GDAX.BTC-USD,D,25/08/17,000000,4360.0000000
GDAX.BTC-USD,D,26/08/17,000000,4344.3200000
GDAX.BTC-USD,D,27/08/17,000000,4340.1100000
GDAX.BTC-USD,D,28/08/17,000000,4384.9900000
GDAX.BTC-USD,D,29/08/17,000000,4599.0000000
GDAX.BTC-USD,D,30/08/17,000000,4581.9800000
GDAX.BTC-USD,D,31/08/17,000000,4743.9400000
GDAX.BTC-USD,D,01/09/17,000000,4947.9900000
GDAX.BTC-USD,D,02/09/17,000000,4649.9900000
GDAX.BTC-USD,D,03/09/17,000000,4626.0500000
GDAX.BTC-USD,D,04/09/17,000000,4498.2500000
GDAX.BTC-USD,D,05/09/17,000000,4432.5100000
GDAX.BTC-USD,D,06/09/17,000000,4616.1800000
GDAX.BTC-USD,D,07/09/17,000000,4624.1800000
GDAX.BTC-USD,D,08/09/17,000000,4350.0000000
GDAX.BTC-USD,D,09/09/17,000000,4334.3600000
GDAX.BTC-USD,D,10/09/17,000000,4251.3600000
GDAX.BTC-USD,D,11/09/17,000000,4210.7200000
GDAX.BTC-USD,D,12/09/17,000000,4164.5200000
GDAX.BTC-USD,D,13/09/17,000000,3855.3200000
GDAX.BTC-USD,D,14/09/17,000000,3250.4000000
GDAX.BTC-USD,D,15/09/17,000000,3740.0200000
GDAX.BTC-USD,D,16/09/17,000000,3726.5100000
GDAX.BTC-USD,D,17/09/17,000000,3650.0100000
GDAX.BTC-USD,D,19/09/17,000000,3910.1100000
GDAX.BTC-USD,D,20/09/17,000000,3990.6700000
GDAX.BTC-USD,D,21/09/17,000000,3617.4700000
GDAX.BTC-USD,D,22/09/17,000000,3619.0100000
GDAX.BTC-USD,D,23/09/17,000000,3787.3300000
GDAX.BTC-USD,D,24/09/17,000000,3669.0100000
GDAX.BTC-USD,D,25/09/17,000000,3919.7800000
GDAX.BTC-USD,D,26/09/17,000000,3885.0900000
GDAX.BTC-USD,D,27/09/17,000000,4200.0000000
GDAX.BTC-USD,D,28/09/17,000000,4189.4200000
GDAX.BTC-USD,D,29/09/17,000000,4156.9900000
GDAX.BTC-USD,D,30/09/17,000000,4339.0000000
GDAX.BTC-USD,D,01/10/17,000000,4394.8100000
GDAX.BTC-USD,D,02/10/17,000000,4392.7100000
GDAX.BTC-USD,D,03/10/17,000000,4307.9900000
GDAX.BTC-USD,D,04/10/17,000000,4214.8400000
GDAX.BTC-USD,D,05/10/17,000000,4320.0400000
GDAX.BTC-USD,D,06/10/17,000000,4362.9900000
GDAX.BTC-USD,D,07/10/17,000000,4425.0000000
GDAX.BTC-USD,D,08/10/17,000000,4603.4900000
GDAX.BTC-USD,D,09/10/17,000000,4769.5500000
GDAX.BTC-USD,D,10/10/17,000000,4750.0000000
GDAX.BTC-USD,D,11/10/17,000000,4814.9900000
GDAX.BTC-USD,D,12/10/17,000000,5440.0000000
GDAX.BTC-USD,D,13/10/17,000000,5624.8000000
GDAX.BTC-USD,D,14/10/17,000000,5819.1300000
GDAX.BTC-USD,D,15/10/17,000000,5693.7000000
GDAX.BTC-USD,D,16/10/17,000000,5754.9000000
GDAX.BTC-USD,D,17/10/17,000000,5594.0000000
GDAX.BTC-USD,D,18/10/17,000000,5574.4400000
GDAX.BTC-USD,D,19/10/17,000000,5704.0100000
GDAX.BTC-USD,D,20/10/17,000000,5989.1000000
GDAX.BTC-USD,D,21/10/17,000000,6024.8600000
GDAX.BTC-USD,D,22/10/17,000000,6005.0500000
GDAX.BTC-USD,D,23/10/17,000000,5905.9900000
GDAX.BTC-USD,D,24/10/17,000000,5525.4300000
GDAX.BTC-USD,D,25/10/17,000000,5739.9700000
GDAX.BTC-USD,D,26/10/17,000000,5891.6100000
GDAX.BTC-USD,D,27/10/17,000000,5780.0000000
GDAX.BTC-USD,D,28/10/17,000000,5752.0100000
GDAX.BTC-USD,D,29/10/17,000000,6140.0100000
GDAX.BTC-USD,D,30/10/17,000000,6124.1600000
GDAX.BTC-USD,D,31/10/17,000000,6445.0100000
GDAX.BTC-USD,D,01/11/17,000000,6783.6900000
GDAX.BTC-USD,D,02/11/17,000000,7039.9800000
GDAX.BTC-USD,D,03/11/17,000000,7170.0100000
GDAX.BTC-USD,D,04/11/17,000000,7412.5500000
GDAX.BTC-USD,D,05/11/17,000000,7392.0000000
GDAX.BTC-USD,D,06/11/17,000000,6969.7600000
GDAX.BTC-USD,D,07/11/17,000000,7126.6300000
GDAX.BTC-USD,D,08/11/17,000000,7467.9600000
GDAX.BTC-USD,D,09/11/17,000000,7156.0000000
GDAX.BTC-USD,D,10/11/17,000000,6577.6200000
GDAX.BTC-USD,D,11/11/17,000000,6346.7000000
GDAX.BTC-USD,D,12/11/17,000000,5886.3500000
GDAX.BTC-USD,D,13/11/17,000000,6535.8700000
GDAX.BTC-USD,D,14/11/17,000000,6605.0000000
GDAX.BTC-USD,D,15/11/17,000000,7294.0000000
GDAX.BTC-USD,D,16/11/17,000000,7838.5300000
GDAX.BTC-USD,D,17/11/17,000000,7714.7100000
GDAX.BTC-USD,D,18/11/17,000000,7777.0100000
GDAX.BTC-USD,D,19/11/17,000000,8031.8200000
GDAX.BTC-USD,D,20/11/17,000000,8256.0100000
GDAX.BTC-USD,D,21/11/17,000000,8109.0000000
GDAX.BTC-USD,D,22/11/17,000000,8250.0000000
GDAX.BTC-USD,D,23/11/17,000000,8031.1600000
GDAX.BTC-USD,D,24/11/17,000000,8215.0100000
GDAX.BTC-USD,D,25/11/17,000000,8795.5000000
GDAX.BTC-USD,D,26/11/17,000000,9401.1100000
GDAX.BTC-USD,D,27/11/17,000000,9768.7100000
GDAX.BTC-USD,D,28/11/17,000000,9949.0000000
GDAX.BTC-USD,D,29/11/17,000000,9935.9800000
GDAX.BTC-USD,D,30/11/17,000000,9903.0000000
GDAX.BTC-USD,D,01/12/17,000000,10869.8400000
GDAX.BTC-USD,D,02/12/17,000000,10930.2400000
GDAX.BTC-USD,D,03/12/17,000000,11290.0000000
GDAX.BTC-USD,D,04/12/17,000000,11643.9800000
GDAX.BTC-USD,D,05/12/17,000000,11718.3500000
GDAX.BTC-USD,D,06/12/17,000000,14090.0000000
GDAX.BTC-USD,D,07/12/17,000000,17390.0100000
GDAX.BTC-USD,D,08/12/17,000000,16367.0300000
GDAX.BTC-USD,D,09/12/17,000000,15309.9800000
GDAX.BTC-USD,D,10/12/17,000000,15290.0100000
GDAX.BTC-USD,D,11/12/17,000000,16885.7600000
GDAX.BTC-USD,D,12/12/17,000000,17730.1200000
GDAX.BTC-USD,D,13/12/17,000000,16689.6100000
GDAX.BTC-USD,D,14/12/17,000000,16749.7800000
GDAX.BTC-USD,D,15/12/17,000000,17738.6700000
GDAX.BTC-USD,D,16/12/17,000000,19650.0100000
GDAX.BTC-USD,D,17/12/17,000000,19378.9900000
GDAX.BTC-USD,D,18/12/17,000000,19039.0100000
GDAX.BTC-USD,D,19/12/17,000000,17838.7300000
GDAX.BTC-USD,D,20/12/17,000000,16496.8900000
GDAX.BTC-USD,D,21/12/17,000000,15758.8000000
GDAX.BTC-USD,D,22/12/17,000000,14210.5700000
GDAX.BTC-USD,D,23/12/17,000000,15075.8900000
GDAX.BTC-USD,D,24/12/17,000000,14221.9400000
GDAX.BTC-USD,D,25/12/17,000000,14171.9800000
GDAX.BTC-USD,D,26/12/17,000000,15790.8800000
GDAX.BTC-USD,D,27/12/17,000000,15360.0000000
GDAX.BTC-USD,D,28/12/17,000000,14450.0100000
GDAX.BTC-USD,D,29/12/17,000000,14565.0500000
GDAX.BTC-USD,D,30/12/17,000000,12839.9900000
GDAX.BTC-USD,D,31/12/17,000000,13863.1300000
GDAX.BTC-USD,D,01/01/18,000000,13480.0100000
GDAX.BTC-USD,D,02/01/18,000000,14781.5100000
GDAX.BTC-USD,D,03/01/18,000000,15098.1400000
GDAX.BTC-USD,D,04/01/18,000000,15144.9900000
GDAX.BTC-USD,D,05/01/18,000000,16960.0100000
GDAX.BTC-USD,D,06/01/18,000000,17098.9900000
GDAX.BTC-USD,D,07/01/18,000000,16174.2200000
GDAX.BTC-USD,D,08/01/18,000000,14993.7400000
GDAX.BTC-USD,D,09/01/18,000000,14480.9900000
GDAX.BTC-USD,D,10/01/18,000000,14875.1800000
GDAX.BTC-USD,D,11/01/18,000000,13308.0600000
GDAX.BTC-USD,D,12/01/18,000000,13820.0000000
GDAX.BTC-USD,D,13/01/18,000000,14187.9500000
GDAX.BTC-USD,D,14/01/18,000000,13656.2300000
GDAX.BTC-USD,D,15/01/18,000000,13590.0000000
GDAX.BTC-USD,D,16/01/18,000000,11570.0100000
GDAX.BTC-USD,D,17/01/18,000000,11200.0100000
GDAX.BTC-USD,D,18/01/18,000000,11305.5300000
GDAX.BTC-USD,D,19/01/18,000000,11498.9900000
GDAX.BTC-USD,D,20/01/18,000000,12762.8000000
